date,sleeper_id,name,position,adp
2026-08-25,4984,Josh Allen,QB,20.8
2026-08-25,4881,Lamar Jackson,QB,34.4
2026-08-25,11564,Drake Maye,QB,52.3
2026-08-25,6904,Jalen Hurts,QB,62.8
2026-08-25,11566,Jayden Daniels,QB,65.4
2026-08-25,6770,Joe Burrow,QB,54.5
2026-08-25,3294,Dak Prescott,QB,84.0
2026-08-25,7523,Trevor Lawrence,QB,97.6
2026-08-25,8183,Brock Purdy,QB,121.1
2026-08-25,9221,Jahmyr Gibbs,RB,1.6
2026-08-25,11560,Caleb Williams,QB,75.4
2026-08-25,12508,Jaxson Dart,QB,101.3
2026-08-25,11563,Bo Nix,QB,118.8
2026-08-25,6797,Justin Herbert,QB,80.6
2026-08-25,9509,Bijan Robinson,RB,2.2
2026-08-25,4046,Patrick Mahomes,QB,110.1
2026-08-25,3163,Jared Goff,QB,140.0
2026-08-25,421,Matthew Stafford,QB,106.1
2026-08-25,6804,Jordan Love,QB,167.5
2026-08-25,4892,Baker Mayfield,QB,151.9
2026-08-25,5849,Kyler Murray,QB,146.6
2026-08-25,12545,Tyler Shough,QB,175.0
2026-08-25,8161,Malik Willis,QB,195.0
2026-08-25,4943,Sam Darnold,QB,167.6
2026-08-25,9493,Puka Nacua,WR,4.5
2026-08-25,7564,Ja'Marr Chase,WR,3.9
2026-08-25,4034,Christian McCaffrey,RB,5.0
2026-08-25,6813,Jonathan Taylor,RB,6.5
2026-08-25,9758,C.J. Stroud,QB,207.5
2026-08-25,8138,James Cook,RB,9.7
2026-08-25,3198,Derrick Henry,RB,16.4
2026-08-25,9228,Bryce Young,QB,232.8
2026-08-25,9488,Jaxon Smith-Njigba,WR,6.9
2026-08-25,9226,De'Von Achane,RB,13.7
2026-08-25,4866,Saquon Barkley,RB,11.5
2026-08-25,12522,Cam Ward,QB,216.1
2026-08-25,7547,Amon-Ra St. Brown,WR,8.3
2026-08-25,9224,Chase Brown,RB,17.9
2026-08-25,8151,Kenneth Walker,RB,18.5
2026-08-25,5870,Daniel Jones,QB,213.5
2026-08-25,6786,CeeDee Lamb,WR,10.9
2026-08-25,7569,Nico Collins,WR,23.3
2026-08-25,12507,Omarion Hampton,RB,15.2
2026-08-25,13269,Fernando Mendoza,QB,188.4
2026-08-25,12527,Ashton Jeanty,RB,13.6
2026-08-25,5859,A.J. Brown,WR,19.7
2026-08-25,8137,George Pickens,WR,25.3
2026-08-25,6794,Justin Jefferson,WR,12.9
2026-08-25,8112,Drake London,WR,20.2
2026-08-25,11604,Brock Bowers,TE,22.9
2026-08-25,8144,Chris Olave,WR,31.4
2026-08-25,8155,Breece Hall,RB,32.8
2026-08-25,8150,Kyren Williams,RB,26.5
2026-08-25,5892,David Montgomery,RB,46.9
2026-08-25,7543,Travis Etienne,RB,41.7
2026-08-25,6790,D'Andre Swift,RB,48.7
2026-08-25,7525,DeVonta Smith,WR,34.2
2026-08-25,7588,Javonte Williams,RB,33.8
2026-08-25,13287,Jeremiyah Love,RB,27.4
2026-08-25,9997,Zay Flowers,WR,41.2
