date,source,sleeper_id,league_points
2026-08-25,sleeper,SEA,103.0
2026-08-25,sleeper,4983,147.5
2026-08-25,sleeper,4984,415.5
2026-08-25,sleeper,11960,0.0
2026-08-25,sleeper,6770,372.1
2026-08-25,sleeper,6783,98.1
2026-08-25,sleeper,6786,222.5
2026-08-25,sleeper,6790,189.5
2026-08-25,sleeper,6794,205.4
2026-08-25,sleeper,6797,347.5
2026-08-25,sleeper,4137,51.7
2026-08-25,sleeper,4199,120.1
2026-08-25,sleeper,2449,125.3
2026-08-25,sleeper,6806,147.2
2026-08-25,sleeper,6801,186.9
2026-08-25,sleeper,6804,332.5
2026-08-25,sleeper,6819,136.4
2026-08-25,sleeper,6813,254.3
2026-08-25,sleeper,CHI,85.0
2026-08-25,sleeper,4217,138.3
2026-08-25,sleeper,12530,79.1
2026-08-25,sleeper,12535,73.1
2026-08-25,sleeper,12533,118.4
2026-08-25,sleeper,12534,143.1
2026-08-25,sleeper,LAC,86.0
2026-08-25,sleeper,LAR,106.0
2026-08-25,sleeper,12545,314.9
2026-08-25,sleeper,12517,173.4
2026-08-25,sleeper,12518,159.6
2026-08-25,sleeper,12519,173.0
2026-08-25,sleeper,12514,185.5
2026-08-25,sleeper,12512,180.0
2026-08-25,sleeper,12529,153.5
2026-08-25,sleeper,12526,184.5
2026-08-25,sleeper,12527,211.4
2026-08-25,sleeper,12522,265.8
2026-08-25,sleeper,12506,143.4
2026-08-25,sleeper,12507,218.9
2026-08-25,sleeper,12508,340.5
2026-08-25,sleeper,12509,93.4
2026-08-25,sleeper,12502,101.8
2026-08-25,sleeper,12501,141.1
2026-08-25,sleeper,9997,187.7
2026-08-25,sleeper,12490,158.8
2026-08-25,sleeper,12492,78.9
2026-08-25,sleeper,8676,115.6
2026-08-25,sleeper,12493,113.8
2026-08-25,sleeper,12474,74.3
2026-08-25,sleeper,12484,0.0
2026-08-25,sleeper,12481,180.2
2026-08-25,sleeper,12487,82.8
2026-08-25,sleeper,12489,125.6
2026-08-25,sleeper,12457,52.1
2026-08-25,sleeper,12469,77.2
2026-08-25,sleeper,12467,54.2
2026-08-25,sleeper,96,213.0
2026-08-25,sleeper,DAL,86.0
2026-08-25,sleeper,DEN,96.0
2026-08-25,sleeper,DET,92.0
2026-08-25,sleeper,6904,352.5
2026-08-25,sleeper,10859,158.5
2026-08-25,sleeper,GB,86.0
2026-08-25,sleeper,KC,87.0
2026-08-25,sleeper,421,344.2
2026-08-25,sleeper,NE,92.0
2026-08-25,sleeper,MIN,92.0
2026-08-25,sleeper,SF,84.0
2026-08-25,sleeper,9224,226.7
2026-08-25,sleeper,9221,299.9
2026-08-25,sleeper,9228,275.6
2026-08-25,sleeper,9225,61.2
2026-08-25,sleeper,9226,229.9
2026-08-25,sleeper,7523,355.4
2026-08-25,sleeper,3163,343.5
2026-08-25,sleeper,7525,189.2
2026-08-25,sleeper,7526,182.5
2026-08-25,sleeper,7543,189.7
2026-08-25,sleeper,7553,138.6
2026-08-25,sleeper,3198,238.4
2026-08-25,sleeper,7547,227.5
2026-08-25,sleeper,7564,256.6
2026-08-25,sleeper,7567,128.8
2026-08-25,sleeper,7569,220.0
2026-08-25,sleeper,7588,188.8
2026-08-25,sleeper,7594,136.9
2026-08-25,sleeper,1466,136.4
2026-08-25,sleeper,1479,84.8
2026-08-25,sleeper,5850,186.1
2026-08-25,sleeper,5849,316.7
2026-08-25,sleeper,5844,122.0
2026-08-25,sleeper,5846,152.3
2026-08-25,sleeper,5859,207.7
2026-08-25,sleeper,5870,261.5
2026-08-25,sleeper,5872,127.7
2026-08-25,sleeper,3214,124.5
2026-08-25,sleeper,5892,190.1
2026-08-25,sleeper,7600,102.9
2026-08-25,sleeper,11581,48.3
2026-08-25,sleeper,11584,179.3
2026-08-25,sleeper,11583,137.9
2026-08-25,sleeper,11586,127.8
2026-08-25,sleeper,7611,154.5
2026-08-25,sleeper,11560,355.3
2026-08-25,sleeper,11564,378.8
2026-08-25,sleeper,11563,347.7
2026-08-25,sleeper,10232,136.5
2026-08-25,sleeper,11566,350.7
2026-08-25,sleeper,10236,130.6
2026-08-25,sleeper,11575,60.6
2026-08-25,sleeper,11576,47.2
2026-08-25,sleeper,10219,125.0
2026-08-25,sleeper,10213,102.9
2026-08-25,sleeper,3294,365.9
2026-08-25,sleeper,10229,185.3
2026-08-25,sleeper,10222,162.6
2026-08-25,sleeper,5001,118.9
2026-08-25,sleeper,5012,132.5
2026-08-25,sleeper,5022,109.5
2026-08-25,sleeper,5045,144.8
2026-08-25,sleeper,8112,205.2
2026-08-25,sleeper,8110,124.8
2026-08-25,sleeper,8111,95.8
2026-08-25,sleeper,8121,132.7
2026-08-25,sleeper,8126,135.2
2026-08-25,sleeper,8134,135.2
2026-08-25,sleeper,8132,65.4
2026-08-25,sleeper,8138,245.3
2026-08-25,sleeper,8136,111.1
2026-08-25,sleeper,8137,205.7
2026-08-25,sleeper,8130,186.9
2026-08-25,sleeper,8131,126.3
2026-08-25,sleeper,8146,183.4
2026-08-25,sleeper,8144,194.9
2026-08-25,sleeper,8148,176.2
2026-08-25,sleeper,8142,150.9
2026-08-25,sleeper,9487,176.4
2026-08-25,sleeper,9488,235.1
2026-08-25,sleeper,8154,63.4
